showid,title,type,releaseyear,endyear,duration,genres,cast,imdbrating,numvotes,popularityrank,isadult,url
tt0105236,Reservoir Dogs,Movie,1992,1992,99 min,"Crime,Thriller","Harvey Keitel, Harvey Keitel, Tim Roth, Tim Roth, Michael Madsen",8.3,1167758,69,0,https://www.imdb.com/title/tt0105236/
tt2267998,Gone Girl,Movie,2014,2014,149 min,"Drama,Mystery,Thriller","Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry, Carrie Coon",8.1,1164564,70,0,https://www.imdb.com/title/tt2267998/
tt0112573,Braveheart,Movie,1995,1995,178 min,"Biography,Drama,War","Mel Gibson, Sophie Marceau, Patrick McGoohan, Angus Macfadyen, James Robinson",8.3,1158337,71,0,https://www.imdb.com/title/tt0112573/
tt6751668,Parasite,Movie,2019,2019,132 min,"Drama,Thriller","Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong, Choi Woo-sik, Park So-dam",8.5,1156139,72,0,https://www.imdb.com/title/tt6751668/
tt0073486,One Flew Over the Cuckoo's Nest,Movie,1975,1975,133 min,Drama,"Jack Nicholson, Louise Fletcher, Michael Berryman, Peter Brocco, Dean R. Brooks",8.6,1154362,73,0,https://www.imdb.com/title/tt0073486/
tt2582802,Whiplash,Movie,2014,2014,106 min,"Drama,Music","Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser, Austin Stowell",8.5,1148094,74,0,https://www.imdb.com/title/tt2582802/
tt0167404,The Sixth Sense,Movie,1999,1999,107 min,"Drama,Mystery,Thriller","Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams, Trevor Morgan",8.2,1140786,75,0,https://www.imdb.com/title/tt0167404/
tt0082971,Raiders of the Lost Ark,Movie,1981,1981,115 min,"Action,Adventure","Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davies, Ronald Lacey",8.4,1107612,76,0,https://www.imdb.com/title/tt0082971/
tt1475582,Sherlock,TV Show,2010,2017,90 min,"Crime,Drama,Mystery","Benedict Cumberbatch, Martin Freeman, Una Stubbs, Rupert Graves, Rupert Graves",9.0,1085326,77,0,https://www.imdb.com/title/tt1475582/
tt1392170,The Hunger Games,Movie,2012,2012,142 min,"Action,Adventure,Sci-Fi","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Stanley Tucci, Wes Bentley",7.2,1078055,78,0,https://www.imdb.com/title/tt1392170/
tt0198781,"Monsters, Inc.",Movie,2001,2001,92 min,"Adventure,Animation,Comedy","Billy Crystal, John Goodman, Mary Gibbs, Steve Buscemi, James Coburn",8.1,1071268,79,0,https://www.imdb.com/title/tt0198781/
tt0078748,Alien,Movie,1979,1979,117 min,"Horror,Sci-Fi","Sigourney Weaver, Tom Skerritt, John Hurt, Veronica Cartwright, Harry Dean Stanton",8.5,1060506,80,0,https://www.imdb.com/title/tt0078748/
tt0268978,A Beautiful Mind,Movie,2001,2001,135 min,"Biography,Drama,Mystery","Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer, Paul Bettany",8.2,1051106,81,0,https://www.imdb.com/title/tt0268978/
tt1201607,Harry Potter and the Deathly Hallows: Part 2,Movie,2011,2011,130 min,"Adventure,Family,Fantasy","Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon, Ralph Fiennes",8.1,1041992,82,0,https://www.imdb.com/title/tt1201607/
tt1160419,Dune: Part One,Movie,2021,2021,155 min,"Action,Adventure,Drama","Timothée Chalamet, Rebecca Ferguson, Zendaya, Oscar Isaac, Jason Momoa",8.0,1035284,83,0,https://www.imdb.com/title/tt1160419/
tt7366338,Chernobyl,Web Series,2019,2019,60 min,"Drama,History,Thriller","Jessie Buckley, Jared Harris, Stellan Skarsgård, Adam Nagaitis, Emily Watson",9.3,1028389,84,0,https://www.imdb.com/title/tt7366338/
tt0095016,Die Hard,Movie,1988,1988,132 min,"Action,Thriller","Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson, Paul Gleason",8.2,1027557,85,0,https://www.imdb.com/title/tt0095016/
tt1675434,The Intouchables,Movie,2011,2011,112 min,"Comedy,Drama","François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot, Joséphine de Meaux",8.5,1023388,86,0,https://www.imdb.com/title/tt1675434/
tt2488496,Star Wars: Episode VII - The Force Awakens,Movie,2015,2015,138 min,"Action,Adventure,Sci-Fi","Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson, Harrison Ford",7.7,1023284,87,0,https://www.imdb.com/title/tt2488496/
tt0075314,Taxi Driver,Movie,1976,1976,114 min,"Crime,Drama","Robert De Niro, Jodie Foster, Cybill Shepherd, Albert Brooks, Diahnne Abbott",8.2,1022678,88,0,https://www.imdb.com/title/tt0075314/
tt15398776,Oppenheimer,Movie,2023,2023,180 min,"Biography,Drama,History","Cillian Murphy, Emily Blunt, Matt Damon, Robert Downey Jr., Alden Ehrenreich",8.2,1018675,89,0,https://www.imdb.com/title/tt15398776/
tt10872600,Spider-Man: No Way Home,Movie,2021,2021,148 min,"Action,Adventure,Fantasy","Tom Holland, Tom Holland, Zendaya, Benedict Cumberbatch, Jacob Batalon",8.1,1013538,90,0,https://www.imdb.com/title/tt10872600/
tt0086250,Scarface,Movie,1983,1983,170 min,"Crime,Drama","Al Pacino, Michelle Pfeiffer, Steven Bauer, Mary Elizabeth Mastrantonio, Robert Loggia",8.3,1011640,91,0,https://www.imdb.com/title/tt0086250/
